Time,Vdc
44.68,540.054272257011
44.69,540.11755407
44.7,540.056838197241
44.71,540.014286293674
44.72,540.058133429417
44.73,540.108198924596
44.74,540.115996977992
44.75,540.035948785029
44.76,540.034427110203
44.77,540.02481703965
44.78,540.060592943999
44.79,540.106115423232
44.8,540.163724120265
44.81,540.108412873591
44.82,540.031740818143
44.83,540.081652798483
44.84,540.042579093326
44.85,540.062788178968
44.86,540.061689257647
44.87,540.046184171513
44.88,540.161860173193
44.89,540.124023397981
44.9,540.121774475827
44.91,540.12060227192
44.92,540.142541127954
44.93,540.054895110262
44.94,540.05978278512
44.95,540.024933299689
44.96,540.079367837081
44.97,540.048558727319
44.98,540.14206503074
44.99,540.128380137522
45,540.06043767
45.01,540.071065980473
45.02,540.102528518724
45.03,540.084645401537
45.04,540.041622473372
45.05,540.092202052529
45.06,540.120067859189
45.07,540.03297555645
45.08,540.142249497659
45.09,540.047879509262
45.1,540.084110665047
45.11,540.111749381129
45.12,540.08528617477
45.13,540.200288046836
45.14,540.008018054681
45.15,540.025328501595
45.16,540.062241019046
45.17,540.107405544825
45.18,540.001438993449
45.19,540.1093041283
45.2,540.001045706618
45.21,540.140629877881
45.22,540.00102055033
45.23,540.099048810336
45.24,540.030859760659
45.25,540.039692289429
45.26,540.09807460609
45.27,539.995894644443
45.28,540.04464072287
45.29,540.082856198337
45.3,540.070441493145
45.31,540.032132398267
45.32,540.117907232327
45.33,539.976183281963
45.34,540.067031554078
45.35,540.127148605141
45.36,540.035488271882
45.37,540.007731895482
45.38,540.024864709816
45.39,540.092985488152
45.4,540.05821090983
45.41,539.976301683889
45.42,540.039960868876
45.43,540.124987196909
45.44,540.084386761835
45.45,540.073020159839
45.46,539.983605777376
45.47,540.000834897158
45.48,539.998580896408
45.49,540.044112294198
45.5,540.077882269977
45.51,540.037171099085
45.52,539.976799703572
45.53,539.965503174108
45.54,540.027382307175
45.55,540.044980400407
45.56,540.126062668554
45.57,539.967215305557
45.58,540.020697490188
45.59,539.934481499821
45.6,540.007178573949
45.61,539.986357436963
45.62,539.998544182496
45.63,540.014899791724
45.64,540.059900159971
45.65,540.041369188763
45.66,539.992943424686
45.67,539.941959492478
45.68,539.969325119504
45.69,539.998332314832
45.7,540.044460570469
45.71,540.031356473728
45.72,540.014908062329
45.73,540.040464722116
45.74,540.053806189952
45.75,540.040072448532
45.76,540.089221289525
45.77,540.007124823031
45.78,540.053427357896
45.79,539.973269101569
45.8,540.022570813678
45.81,539.980120024818
45.82,540.003128119215
45.83,539.977044932032
45.84,540.002354993155
45.85,539.969174661364
45.86,539.978274013963
45.87,539.979066592303
45.88,539.98739057666
45.89,539.966406511303
45.9,539.95695397421
45.91,539.983706917196
45.92,539.981729105694
45.93,539.98464127365
45.94,540.035705189003
45.95,539.976994557056
45.96,540.019380135864
45.97,540.018407914115
45.98,540.021794097492
45.99,540.025230008026
46,540.104105464116
46.01,540.073747372503
46.02,540.049812294918
46.03,540.072691439595
46.04,540.045007022677
46.05,539.996918054256
46.06,540.032101981729
46.07,540.050632350182
46.08,540.052161276478
46.09,540.072876163195
46.1,540.038493455687
46.11,540.008892940702
46.12,540.012675229428
46.13,540.053038359466
46.14,540.03875245648
46.15,540.047608465193
46.16,539.995534268407
46.17,540.022818256122
46.18,540.048411425499
46.19,540.032933077512
46.2,539.988915589556
46.21,539.979402107532
46.22,539.995827802307
46.23,540.041669694552
46.24,540.021822174766
46.25,539.907752078664
46.26,539.919998181729
46.27,539.975786229662
46.28,539.986335488799
46.29,539.932839925953
46.3,539.933843371477
46.31,539.965458579168
46.32,540.000545544757
46.33,539.97966196711
46.34,539.982376609657
46.35,539.923650085123
46.36,539.935649431533
46.37,539.983866773673
46.38,539.973648962737
46.39,540.001166159322
46.4,539.982153462927
46.41,539.922140904673
46.42,539.987391822955
46.43,539.888057032885
46.44,539.916570288739
46.45,539.916831226259
46.46,539.928389411609
46.47,539.945751677794
46.48,539.962622980187
46.49,539.93621275654
46.5,539.977282418351
46.51,539.981316328051
46.52,539.982477190209
46.53,539.986097156864
46.54,539.935347820214
46.55,539.980406853319
46.56,539.959200391663
46.57,539.885413500546
46.58,539.826731225722
46.59,539.799002351325
46.6,539.873459053838
46.61,539.930202412745
46.62,539.871302607038
46.63,539.858596823211
46.64,539.743035782815
46.65,539.906981779993
46.66,539.856741400818
46.67,539.747396631129
46.68,539.870801517202
46.69,539.757330471383
46.7,539.879730582455
46.71,539.781804215503
46.72,539.861489540907
46.73,539.745148482646
46.74,539.904221491926
46.75,539.736075009606
46.76,539.83300793203
46.77,539.870956190745
46.78,539.892573258906
46.79,539.836984041738
46.8,539.719926174744
46.81,539.785562101258
46.82,539.810799652259
46.83,539.830273596747
46.84,539.790585735878
46.85,539.859519271621
46.86,539.797792515936
46.87,539.812390956352
46.88,539.741196495052
46.89,539.828148253887
46.9,539.892313568559
46.91,539.81585255247
46.92,539.756873004715
46.93,539.880675736551
46.94,539.87250514573
46.95,539.798476444384
46.96,539.892906633807
46.97,539.745319967403
46.98,539.902665518457
46.99,539.773188633974
47,539.880396610858
47.01,539.78844561723
47.02,539.809235363959
47.03,539.841425462068
47.04,539.826575494393
47.05,539.737328070722
47.06,539.798291440348
47.07,539.850222978186
47.08,539.854701625472
47.09,539.864082037735
47.1,539.81839527678
47.11,539.800296738581
47.12,539.790874917768
47.13,539.820288775652
47.14,539.780289462142
47.15,539.71551279697
47.16,539.796865720177
47.17,539.790653174795
47.18,539.707231564836
47.19,539.798924589547
47.2,539.767184348777
47.21,539.710134662615
47.22,539.72551886428
47.23,539.822926164216
47.24,539.77421078401
47.25,539.816775952469
47.26,539.841072252812
47.27,539.695219366273
47.28,539.724862722372
47.29,539.742179842244
47.3,539.737597208015
47.31,539.763389192707
47.32,539.791582363893
47.33,539.745956023384
47.34,539.786470867659
47.35,539.707644553321
47.36,539.68803421064
47.37,539.779524681237
47.38,539.780294527427
47.39,539.748358645454
47.4,539.802915570374
47.41,539.758760873092
47.42,539.806032900789
47.43,539.721107397933
47.44,539.814914015934
47.45,539.716725780506
47.46,539.751818782879
47.47,539.843675807368
47.48,539.774120329203
47.49,539.724910365724
47.5,539.786740454414
47.51,539.808152722483
47.52,539.721960119311
47.53,539.754997808303
47.54,539.794625605963
47.55,539.784056439064
47.56,539.784879574458
47.57,539.738530495182
47.58,539.708537049789
47.59,539.589673137524
47.6,539.764808800138
47.61,539.714952515067
47.62,539.758558275538
47.63,539.719279916928
47.64,539.694183576157
47.65,539.754462075172
47.66,539.760363444084
47.67,539.753301545023
47.68,539.748017736582
47.69,539.749134436606
47.7,539.712461150518
47.71,539.795467764532
47.72,539.717846230689
47.73,539.733324749926
47.74,539.762998837156
47.75,539.786627208523
47.76,539.746472659985
47.77,539.735267380478
47.78,539.730171706671
47.79,539.751433830229
47.8,539.714562673126
47.81,539.74734266753
47.82,539.712153838353
47.83,539.745218770585
47.84,539.730345486153
47.85,539.751593534914
47.86,539.711707357848
47.87,539.690143717422
47.88,539.595432568036
47.89,539.770842981934
47.9,539.739858618299
47.91,539.768671427177
47.92,539.784141301893
47.93,539.750088256034
47.94,539.693534296355
47.95,539.634483164669
47.96,539.733440229773
47.97,539.697897521678
47.98,539.707228196602
47.99,539.689529791731
48,539.769216440649
48.01,539.773588139708
48.02,539.760060904451
48.03,539.445637247288
48.04,539.672858285897
48.05,539.643539116307
48.06,539.753660761839
48.07,539.649407192398
48.08,539.699817490997
48.09,539.77123127421
48.1,539.843364863501
48.11,539.691734348336
48.12,539.802610087821
48.13,539.739768265129
48.14,539.81348077011
48.15,539.66690575146
48.16,539.691269824865
48.17,539.671132003197
48.18,539.753985297512
48.19,539.829739268777
48.2,539.788971568432
48.21,539.670588465648
48.22,539.703170285257
48.23,539.801244993149
48.24,539.648231990006
48.25,539.750102643739
48.26,539.756029936973
48.27,539.578802034082
48.28,539.679715906934
48.29,539.693093586079
48.3,539.626168811222
48.31,539.734769019942
48.32,539.772086413734
48.33,539.600568702599
48.34,539.752157287428
48.35,539.735757914717
48.36,539.721376904359
48.37,539.482525225249
48.38,539.578290653018
48.39,539.575137307176
48.4,539.595207185824
48.41,539.425107635626
48.42,539.752911816167
